@relation brain_tumor_classification
@attribute contrast REAL
@attribute correlation REAL
@attribute energy REAL
@attribute homogeneity REAL
@attribute mean REAL
@attribute standard_deviation REAL
@attribute entropy REAL
@attribute rms REAL
@attribute variance REAL
@attribute smoothness REAL
@attribute kurtosis REAL
@attribute skewness REAL
@attribute idm REAL
@attribute label {BENIGN, MALIGNANT}
    
@data 
0.0384,0.8510,0.7049,0.9808,0.0053,0.0897,3.5639,0.0898,0.0080,0.9518,7.6144,0.8219,0.1883,MALIGNANT
0.0227,0.7400,0.8904,0.9886,0.0046,0.0897,3.3268,0.0898,0.0080,0.9445,7.3917,0.4874,2.1046,MALIGNANT
0.0309,0.8194,0.7993,0.9846,0.0054,0.0897,3.2640,0.0898,0.0080,0.9522,8.5590,0.7925,0.7559,MALIGNANT
0.0329,0.8054,0.7993,0.9836,0.0041,0.0897,3.5649,0.0898,0.0081,0.9386,7.8266,0.7312,1.8114,MALIGNANT
0.0445,0.7264,0.7950,0.9778,0.0061,0.0896,3.0874,0.0898,0.0080,0.9578,14.5703,1.3368,1.3918,MALIGNANT
0.0196,0.8840,0.8119,0.9902,0.0045,0.0897,3.3111,0.0898,0.0080,0.9442,6.8659,0.5954,1.8502,MALIGNANT
0.0245,0.7501,0.8782,0.9878,0.0046,0.0897,3.3896,0.0898,0.0081,0.9446,8.4594,0.9462,0.0709,MALIGNANT
0.0076,0.8820,0.9299,0.9962,0.0051,0.0897,2.0989,0.0898,0.0080,0.9497,59.1226,5.6057,11.1432,MALIGNANT
0.0241,0.8823,0.7716,0.9879,0.0022,0.0898,3.4436,0.0898,0.0080,0.8891,6.3766,0.4351,0.7002,MALIGNANT
0.0146,0.8069,0.9099,0.9927,0.0057,0.0896,2.6822,0.0898,0.0081,0.9550,32.0195,3.1516,1.9764,MALIGNANT
